City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Dikson,73.51,80.55,43.18,86,100,13.56
Vaini,-21.2,-175.2,75.2,73,40,8.05
Ishigaki,24.34,124.16,82.4,88,40,4.7
Killybegs,54.63,-8.45,61.0,84,100,5.01
Rikitea,-23.12,-134.97,73.83,82,0,12.01
Punta Arenas,-53.15,-70.92,37.2,86,75,33.33
Faya,18.39,42.45,68.9,64,63,2.01
Atuona,-9.8,-139.03,77.9,75,1,16.4
Albany,42.6,-73.97,64.13,40,0,9.82
Lompoc,34.64,-120.46,67.53,64,1,14.99
Ribeira Grande,38.52,-28.7,66.34,61,7,15.35
East London,-33.02,27.91,59.27,60,5,15.39
Tasiilaq,65.61,-37.64,33.8,80,50,0.72
Jorhāt,26.75,94.22,75.92,94,100,4.18
Clyde River,70.47,-68.59,37.4,86,75,10.29
Hilo,19.73,-155.09,80.02,58,1,13.87
Plouzané,48.38,-4.62,64.96,88,100,2.24
Gijang,35.24,129.21,68.0,82,99,3.36
Paoua,7.24,16.44,67.39,98,100,3.36
Xinzhou,38.41,112.73,58.41,89,100,2.8
Busselton,-33.65,115.33,46.58,72,0,8.79
Avarua,-21.21,-159.78,73.4,73,78,14.99
Los Llanos de Aridane,28.66,-17.92,70.79,83,100,5.82
Taoudenni,22.68,-3.98,102.96,10,58,4.27
Lagos,6.58,3.75,77.0,94,40,3.36
Gladstone,-23.85,151.25,68.0,72,75,8.05
Touros,-5.2,-35.46,77.0,78,20,6.93
Bengkulu,-3.8,102.27,74.64,92,65,4.29
Isangel,-19.55,169.27,75.2,78,75,5.82
Klaksvík,62.23,-6.59,42.8,93,94,1.12
Mulino,56.29,42.92,50.0,81,20,6.71
Severo-Kuril'sk,50.68,156.12,52.2,78,9,15.1
Carnarvon,-24.87,113.63,62.6,100,46,5.82
Kuopio,62.89,27.68,48.2,76,0,10.29
Butaritari,3.07,172.79,83.73,72,55,18.77
Cherskiy,68.75,161.3,46.67,73,88,8.75
Barrow,71.29,-156.79,39.2,93,90,8.05
Shimoda,34.67,138.95,66.0,95,48,1.99
Nemuro,43.32,145.57,60.94,67,26,10.49
Thompson,55.74,-97.86,44.6,87,90,8.05
Nanortalik,60.14,-45.24,41.63,77,100,29.21
Broome,42.25,-75.83,58.39,47,1,14.99
Tarnogskiy Gorodok,60.5,43.58,44.4,95,17,7.47
Cidreira,-30.18,-50.21,54.54,62,98,11.41
Kisangani,0.52,25.2,73.2,89,85,2.62
Ca Mau,9.18,105.15,75.97,91,100,2.35
Sobolevo,54.43,31.9,53.87,96,0,8.7
George Town,5.41,100.34,77.22,88,40,8.05
Peleduy,59.63,112.74,47.53,75,70,12.1
New Norfolk,-42.78,147.06,51.3,64,68,5.01
Trofors,65.53,13.41,44.29,87,40,2.24
Grand Gaube,-20.01,57.66,69.01,57,29,11.01
Alta Floresta,-9.88,-56.09,88.66,16,15,3.58
Bluff,-46.6,168.33,46.0,79,67,7.0
Kapaa,22.08,-159.32,82.94,62,90,10.29
Provideniya,64.38,-173.3,48.2,81,90,6.71
Baykit,61.67,96.37,47.1,85,65,1.36
Honningsvåg,70.98,25.97,48.2,87,90,6.93
Saint Paul Harbor,57.79,-152.41,55.4,71,1,5.82
Nianzishan,47.52,122.88,49.82,86,69,3.42
Khudumelapye,-23.88,24.75,64.9,27,2,8.16
Najrān,17.49,44.13,78.8,22,49,3.71
Henties Bay,-22.12,14.28,55.0,80,0,9.46
Tuatapere,-46.13,167.68,46.0,79,56,7.0
Hobart,-42.88,147.33,53.92,54,40,17.22
Souillac,-20.52,57.52,68.0,68,40,16.11
Puerto Ayora,-0.74,-90.35,72.01,57,20,23.04
Yulara,-25.24,130.99,57.2,41,0,5.82
Castro,-24.79,-50.01,71.65,53,87,5.03
Port Elizabeth,-33.92,25.57,55.4,71,0,25.28
Bougouni,11.42,-7.48,76.01,80,100,2.75
Muroto-misakicho,33.28,134.15,69.8,83,75,9.17
Manaure,11.78,-72.44,85.78,76,83,15.43
Makakilo City,21.35,-158.09,84.29,58,1,11.41
Chui,-33.7,-53.46,47.44,71,0,8.97
Sooke,48.37,-123.73,64.33,73,65,8.08
Bredasdorp,-34.53,20.04,46.4,75,26,4.7
Yar-Sale,66.83,70.83,49.17,85,100,19.04
Amuntai,-2.42,115.25,71.94,96,52,1.01
Hermanus,-34.42,19.23,42.01,93,74,2.91
Lianzhou,24.78,112.38,74.53,88,77,0.65
Acaraú,-2.89,-40.12,77.79,73,93,17.43
Jasper,37.2,-94.35,79.83,51,1,9.17
Manono,-7.3,27.42,76.78,47,5,3.24
Daoukro,7.06,-3.96,72.68,95,34,2.71
Kamariótissa,40.48,25.47,75.83,38,1,12.75
Yellowknife,62.46,-114.35,48.11,49,75,14.99
Dunedin,-45.87,170.5,52.0,54,41,15.01
Boende,-0.22,20.87,71.62,97,100,1.41
Mataura,-46.19,168.86,46.0,79,14,7.0
Mufulira,-12.55,28.24,67.1,39,3,3.27
Hasaki,35.73,140.83,70.34,94,75,8.05
Dalbandin,28.89,64.41,75.16,18,2,5.48
Örnsköldsvik,63.29,18.72,46.4,70,50,14.99
Ushuaia,-54.8,-68.3,44.6,56,40,25.28
Aloleng,16.13,119.78,82.38,80,100,4.99
Viljoenskroon,-27.21,26.95,54.0,39,0,5.26
Brigantine,39.41,-74.36,72.79,53,1,11.41
Gwadar,25.12,62.33,84.31,62,74,5.14
Barcelos,41.54,-8.62,66.4,93,75,4.7
Jatiroto,-7.88,111.12,69.01,86,67,2.53
Tabou,4.42,-7.35,76.01,87,94,9.69
Esperance,-33.87,121.9,51.8,93,67,13.87
Cape Town,-33.93,18.42,47.17,81,81,3.36
Umluj,25.02,37.27,87.4,51,0,5.61
Upernavik,72.79,-56.15,28.63,84,0,5.95
Cabo San Lucas,22.89,-109.91,86.74,70,20,9.17
Acapulco de Juárez,16.86,-99.89,86.0,74,75,4.7
Burgeo,47.62,-57.62,55.36,75,100,23.09
Faanui,-16.48,-151.75,78.26,75,13,11.9
Horní Planá,48.77,14.03,64.33,85,1,3.24
Saskylakh,71.92,114.08,42.35,80,100,2.17
Chokurdakh,70.63,147.92,42.71,91,47,9.75
Kostanay,53.17,63.58,53.6,58,100,6.71
Tosya,41.02,34.04,59.74,41,0,2.53
Aklavik,68.22,-135.01,44.6,70,90,9.17
Guarapari,-20.67,-40.5,75.76,69,0,12.75
São Borja,-28.66,-56.0,55.22,71,99,10.6
Lagoa,39.05,-27.98,66.22,64,14,17.22
Constantine,36.37,6.61,64.4,88,20,5.82
Kruisfontein,-34.0,24.73,52.0,66,0,1.99
Bubaque,11.28,-15.83,81.45,86,100,5.32
Hamilton,39.18,-84.53,75.22,50,1,11.41
Myanaung,18.28,95.32,76.84,93,99,4.21
Tarakan,3.3,117.63,79.86,82,100,16.44
Great Falls,47.5,-111.3,76.91,19,1,5.82
Mar del Plata,-38.0,-57.56,50.88,57,0,8.05
Borba,-4.39,-59.59,85.1,57,64,2.89
Pevek,69.7,170.31,40.93,83,100,5.17
Salalah,17.02,54.09,80.6,78,75,3.36
Jamestown,42.1,-79.24,57.85,58,1,10.29
Kirkkonummi,60.12,24.44,49.03,92,5,5.57
Labuan,5.28,115.24,75.09,94,20,2.24
High Prairie,55.43,-116.49,43.16,94,100,7.31
Mithi,24.73,69.8,85.64,71,96,10.42
Port Alfred,-33.59,26.89,56.26,66,0,16.93
Tocopilla,-22.09,-70.2,64.74,53,95,5.03
Bambous Virieux,-20.34,57.76,68.49,68,40,16.11
Hobbs,32.7,-103.14,77.32,41,40,6.93
Champotón,19.35,-90.72,87.8,70,75,11.41
Burnie,-41.07,145.92,51.3,74,100,8.01
Vao,-22.67,167.48,69.37,78,7,17.52
Kuytun,54.34,101.5,42.33,95,75,10.09
Andilamena,-17.02,48.58,53.31,95,47,6.02
Flinders,-34.58,150.86,62.01,88,90,4.0
Road Town,18.42,-64.62,84.33,84,27,11.01
Ponta do Sol,32.67,-17.1,67.55,73,20,1.12
La Ronge,55.1,-105.28,48.2,81,90,10.29
Port Moresby,-9.44,147.18,77.0,83,40,3.36
Guerrero Negro,27.98,-114.06,94.05,28,0,10.16
San Fernando del Valle de Catamarca,-28.47,-65.79,66.99,27,29,11.01
Alofi,-19.06,-169.92,75.2,73,75,16.11
Turaif,31.67,38.66,84.2,26,0,10.29
Codrington,-38.27,141.97,47.71,90,100,6.55
Kavieng,-2.57,150.8,83.88,77,84,15.28
Qaanaaq,77.48,-69.36,29.07,93,75,8.79
Iskateley,67.68,53.15,43.09,95,42,6.44
Korla,41.76,86.15,70.0,64,38,5.88
Kasempa,-13.46,25.83,70.97,33,81,3.2
Kibaya,-5.3,36.57,57.85,92,1,6.96
Villa Unión,23.2,-106.23,87.93,74,75,11.41
Sorsk,54.0,90.25,39.04,84,8,2.59
Jinchang,38.5,102.17,54.54,39,0,3.58
Bethel,41.37,-73.41,67.51,51,0,9.78
San Patricio,19.22,-104.7,89.6,62,75,20.8
Orlik,52.52,99.83,37.58,83,100,2.59
Marsh Harbour,26.54,-77.06,83.86,66,36,4.76
Iquique,-20.22,-70.14,62.6,67,75,10.29
Samarai,-10.62,150.67,79.61,84,98,10.71
Lososina,49.0,140.31,54.01,70,0,5.73
Buluang,13.31,123.34,75.69,91,100,6.06
Ostrovnoy,68.05,39.51,48.06,90,96,8.97
Puerto Varas,-41.32,-72.99,51.8,71,75,8.05
Shwebo,22.57,95.7,76.41,93,100,3.02
Oranjemund,-28.55,16.43,55.42,81,0,11.5
Mangai,-4.05,19.53,73.15,89,46,1.83
El Jícaro,14.92,-89.9,85.17,68,81,2.8
Bossangoa,6.49,17.46,67.5,97,100,1.66
Palu,-0.89,119.87,74.8,80,100,1.72
