City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Rikitea,PF,-23.12,-134.97,72.72,77,43,9.53
Busselton,AU,-33.65,115.33,72.95,30,73,13.96
Hithadhoo,MV,-0.6,73.08,82.27,59,70,1.57
Puerto Ayora,EC,-0.74,-90.35,68.0,86,100,5.99
Amapá,BR,1.0,-52.0,69.48,98,13,2.26
Coihueco,CL,-36.62,-71.83,42.8,93,79,2.24
Stokmarknes,NO,68.56,14.91,39.99,66,20,3.36
Necochea,AR,-38.55,-58.74,39.99,97,0,5.01
George Town,MY,5.41,100.34,83.25,74,20,3.36
Nikolskoye,RU,59.7,30.79,56.03,87,72,4.47
Vaini,TO,-21.2,-175.2,73.4,83,20,8.05
Bluff,NZ,-46.6,168.33,51.01,91,95,3.0
Aykhal,RU,66.0,111.5,55.4,32,0,6.71
Bengkulu,ID,-3.8,102.27,82.94,72,100,6.22
Jamestown,US,42.1,-79.24,53.31,100,1,3.27
Port Shepstone,ZA,-30.74,30.45,73.35,40,0,5.03
Ixtapa,MX,20.7,-105.2,81.81,94,40,1.74
Carnarvon,AU,-24.87,113.63,75.2,64,67,13.87
Chui,UY,-33.7,-53.46,50.68,89,73,2.77
Palmer,US,42.16,-72.33,51.73,93,1,1.45
Ancud,CL,-41.87,-73.82,38.01,89,40,6.73
Umba,RU,66.69,34.34,50.97,88,87,9.62
Faya,SA,18.39,42.45,70.7,20,69,4.7
Bilma,NE,18.69,12.92,83.93,20,8,13.6
Yellowknife,CA,62.46,-114.35,50.0,76,75,10.29
Mount Isa,AU,-20.73,139.5,86.0,13,40,6.93
Araouane,ML,18.9,-3.53,90.5,32,0,4.97
Tuktoyaktuk,CA,69.45,-133.04,33.8,100,90,18.34
Port-Gentil,GA,-0.72,8.78,77.0,88,75,11.81
Khatanga,RU,71.97,102.5,49.95,57,52,7.56
Cape Town,ZA,-33.93,18.42,54.55,93,75,8.05
Kavieng,PG,-2.57,150.8,85.12,63,32,8.75
Naze,JP,28.37,129.48,85.12,79,75,9.17
Cabo San Lucas,MX,22.89,-109.91,82.67,82,0,1.01
Upernavik,GL,72.79,-56.15,25.25,88,97,8.01
Bethel,US,41.37,-73.41,53.71,87,1,3.36
Santa Rosa,PH,14.31,121.11,89.82,66,40,10.29
Hong Kong,HK,22.29,114.16,85.08,74,78,8.99
Mataura,NZ,-46.19,168.86,51.01,91,99,3.0
Goedereede,NL,51.82,3.98,54.09,72,21,22.28
Khāsh,IR,28.22,61.22,76.37,18,0,0.83
Tigil',RU,57.8,158.67,44.62,64,94,8.79
Ca Mau,VN,9.18,105.15,92.77,52,67,7.54
Moncton,CA,46.12,-64.8,54.32,87,20,9.17
Yangjiang,CN,21.85,111.97,87.01,68,32,6.46
Tim,RU,51.62,37.12,50.0,76,0,4.47
Nampula,MZ,-15.12,39.27,69.42,73,75,11.41
Dikson,RU,73.51,80.55,40.35,89,95,17.43
Omsukchan,RU,62.53,155.8,36.88,81,99,6.96
New Norfolk,AU,-42.78,147.06,50.16,65,98,3.0
Luan,CH,46.36,6.98,55.11,100,75,5.82
Esperance,AU,-33.87,121.9,62.6,67,75,12.75
Dombarovskiy,RU,50.76,59.54,52.45,50,0,11.14
Ola,RU,59.58,151.28,51.85,50,41,7.45
Nome,US,64.5,-165.41,35.94,69,1,8.05
Faanui,PF,-16.48,-151.75,78.94,78,3,12.75
Saskylakh,RU,71.92,114.08,53.65,53,4,8.93
Airai,TL,-8.93,125.41,78.22,46,5,6.35
Hermanus,ZA,-34.42,19.23,50.0,95,0,1.01
Barrow,US,71.29,-156.79,30.2,68,90,10.29
Hobart,AU,-42.88,147.33,51.58,46,75,10.29
Hobyo,SO,5.35,48.53,82.4,63,4,21.83
Luanda,AO,-8.84,13.23,71.6,88,40,2.24
Abhā,SA,18.22,42.51,70.65,21,73,4.7
Port Lincoln,AU,-34.73,135.87,54.39,61,100,25.97
Geraldton,AU,-28.77,114.6,75.2,64,75,21.92
Punta Arenas,CL,-53.15,-70.92,42.39,81,40,17.22
Marsh Harbour,BS,26.54,-77.06,79.66,75,13,17.16
Ushuaia,AR,-54.8,-68.3,41.0,80,75,9.17
Ahipara,NZ,-35.17,173.17,60.15,92,100,14.12
Vanavara,RU,60.34,102.28,59.29,42,50,10.54
Liliongan,PH,7.36,124.79,88.05,61,100,8.08
Qaanaaq,GL,77.48,-69.36,18.1,83,99,12.44
Narsaq,GL,60.92,-46.05,39.2,41,100,2.24
Maceió,BR,-9.67,-35.74,69.8,94,20,3.36
Vao,NC,-22.67,167.48,71.46,74,0,11.79
Mount Gambier,AU,-37.83,140.77,46.4,93,75,9.17
Clyde River,CA,70.47,-68.59,33.8,80,90,12.75
Asău,RO,46.43,26.4,66.0,72,0,1.81
Aklavik,CA,68.22,-135.01,37.4,93,90,9.17
Lashio,MM,22.93,97.75,78.15,91,100,3.24
Mayo,US,38.89,-76.51,61.97,82,1,7.34
Bahía Blanca,AR,-38.72,-62.27,53.8,64,2,5.21
Mar del Plata,AR,-38.0,-57.56,47.75,93,0,3.36
Soskovo,RU,52.75,35.38,58.37,58,18,6.44
La Unión,PE,-5.4,-80.75,63.79,79,27,6.82
Mahébourg,MU,-20.41,57.7,73.4,64,75,8.05
Hilo,US,19.73,-155.09,72.46,88,90,8.05
Lüderitz,NA,-26.65,15.16,58.96,72,80,6.76
Flinders,AU,-34.58,150.86,66.99,36,3,15.99
Derzhavīnsk,KZ,51.1,66.32,48.34,63,33,21.23
Tasiilaq,GL,65.61,-37.64,28.4,63,46,2.24
Santa Maria,BR,-29.68,-53.81,60.66,87,47,3.4
East London,ZA,-33.02,27.91,64.4,100,40,2.24
Albany,US,42.6,-73.97,55.15,99,0,3.87
Warrnambool,AU,-38.38,142.48,53.01,76,100,1.01
Myitkyina,MM,25.38,97.4,83.3,85,100,0.87
Hasaki,JP,35.73,140.83,68.38,94,75,20.8
Vila Franca do Campo,PT,37.72,-25.43,64.4,68,20,12.75
Qinhuangdao,CN,39.93,119.59,67.75,74,92,6.49
Thompson,CA,55.74,-97.86,33.8,100,5,3.69
Kimbe,PG,-5.55,150.14,84.15,76,52,4.12
Ribeira Grande,PT,38.52,-28.7,66.11,71,77,17.56
Saint George,US,37.1,-113.58,74.98,23,1,9.17
Port Elizabeth,ZA,-33.92,25.57,57.2,93,90,11.41
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,55.4,50,40,13.42
Mossamedes,AO,-15.2,12.15,64.27,86,36,2.64
Itakyry,PY,-24.93,-55.22,62.78,72,21,2.62
Otjimbingwe,NA,-22.35,16.13,78.06,22,42,4.76
Chokurdakh,RU,70.63,147.92,45.05,68,79,5.97
Bonthe,SL,7.53,-12.51,75.61,90,16,4.03
Río Gallegos,AR,-51.62,-69.22,50.0,43,40,16.11
Leshukonskoye,RU,64.9,45.76,45.66,79,100,9.78
Kaitangata,NZ,-46.28,169.85,53.01,66,98,3.0
Dunmanway,IE,51.72,-9.12,45.1,87,20,16.11
Havre-St-Pierre,CA,50.23,-63.6,50.0,93,1,10.29
Mēga,ET,4.05,38.3,63.03,81,83,16.06
São João da Barra,BR,-21.64,-41.05,69.93,90,100,9.4
Coquimbo,CL,-29.95,-71.34,53.6,93,100,2.24
Atuona,PF,-9.8,-139.03,78.48,74,10,18.37
Vuktyl,RU,63.86,57.31,40.84,82,50,3.15
Port Alfred,ZA,-33.59,26.89,66.58,65,0,2.01
Assiut,EG,27.18,31.18,77.0,57,0,12.75
Chambas,CU,22.19,-78.91,75.2,100,94,3.36
Sunndalsøra,NO,62.68,8.55,45.27,70,75,36.91
Lima,PE,-12.04,-77.03,60.4,87,90,11.41
Bud,US,39.45,-86.18,57.56,93,1,4.32
Iqaluit,CA,63.75,-68.51,37.2,69,75,20.8
Tornio,FI,65.85,24.15,46.4,87,100,3.36
Bredasdorp,ZA,-34.53,20.04,55.4,93,0,1.54
Tilichiki,RU,60.47,166.1,40.8,68,11,11.54
Korem,ET,12.51,39.52,65.16,46,100,2.19
Sokoni,TZ,-6.43,39.55,77.0,88,75,4.7
Aswān,EG,24.09,32.91,88.79,32,0,16.28
Mahibadhoo,MV,3.78,72.97,82.0,76,99,6.31
Padang,ID,-0.95,100.35,83.05,73,75,3.76
Manzanillo,CU,20.34,-77.12,77.07,85,94,3.36
Monte Alegre,BR,-2.01,-54.07,78.15,75,0,6.62
Nova Serrana,BR,-19.88,-44.98,60.89,93,91,6.49
Karasjok,NO,69.47,25.51,48.2,49,0,53.02
Kapaa,US,22.08,-159.32,78.28,74,40,14.99
Marsá Maţrūḩ,EG,31.35,27.25,77.0,73,40,6.93
Roald,NO,62.58,6.13,45.61,81,75,29.97
Skuteč,CZ,49.84,16.0,55.87,100,75,3.36
Fukuechō,JP,32.69,128.84,69.8,94,75,10.29
Lompoc,US,34.64,-120.46,56.3,87,1,8.08
Camacha,PT,33.08,-16.33,71.6,83,40,14.99
La Ronge,CA,55.1,-105.28,53.6,71,75,12.75
Carutapera,BR,-1.2,-46.02,76.55,85,24,7.05
Włodawa,PL,51.55,23.55,57.0,86,1,7.65
Roseburg,US,43.22,-123.34,63.14,88,90,4.94
Portobelo,PA,9.55,-79.65,77.43,94,100,5.01
La Asuncion,VE,11.03,-63.86,81.27,85,98,7.87
Hervey Bay,AU,-25.3,152.85,79.0,41,21,5.99
Tiksi,RU,71.69,128.87,50.16,61,0,13.29
Lavrentiya,RU,65.58,-171.0,39.61,77,82,3.47
Ilulissat,GL,69.22,-51.1,21.2,44,0,8.05
Henties Bay,NA,-22.12,14.28,55.0,96,7,1.1
